"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20"
"Gene1",8.31857306034336,7.012603825446,8.46518883343126,9.54907756640776,10.5896493296801,8.51747836187914,7.90231568156771,5.14588989106907,11.5330011858921,15.794727823704,19.112175661428,12.8033713115422,11.5481101186677,7.76979017954784,9.26981649003821,7.93845339772337,8.72347489509817,14.1500164093792,12.834667267099,18.0837325880951
"Gene2",9.30946753155016,6.88013486870142,10.7108136373829,9.01672860164061,11.9503395660018,13.3827803985072,12.9893545889992,11.1375434567002,15.4239783352454,8.15057604372392,11.4995641288453,10.8019173542355,14.4028216751637,6.83620509075956,12.8419880026766,10.2618682444988,7.98737443544988,11.149495589019,7.19238679942402,7.51575089793442
"Gene3",14.6761249424474,9.94605927827001,8.3752324851349,5.65550412944802,12.013012563706,6.55915135424683,7.92176393929501,15.7067514415193,4.89215511900635,8.31229756270041,14.7808841860461,12.8306514740968,8.43984645526007,13.9963347502783,8.89298881026096,9.41686740734502,15.3277259030711,8.59360891184724,11.0373014019567,7.28115251601016
"Gene4",10.2115251742737,9.6034746014298,13.6576829411292,7.90814624634513,6.14752670460332,14.443055791258,9.68955085948391,11.8056228008421,10.8623462765519,7.03011062505168,10.2955447567471,8.29897977874268,13.2919090912083,10.7075798467559,12.8191462310135,14.918035027395,14.4321044760118,10.1015501696038,8.32165755339636,11.0993631530727
"Gene5",10.3878632054828,2.3519716757487,10.5224076253184,17.7954706963896,3.92167125163141,12.7485736373752,11.8115981929561,15.1970491012142,9.19265753497449,18.1936827892429,12.6752702417751,14.260724756147,12.6502412833297,11.012883843521,13.6133944489381,13.8574373138874,9.3720559670136,16.0534837367952,9.67002726373616,9.70687953425461
"Gene6",15.1451949606498,13.1217203671581,8.15419505171057,9.88775495909785,16.6159781931125,11.0053930513142,8.17586504992161,9.55939133986015,8.86142583591545,7.83500134949342,15.395957716527,12.8677830619705,14.8838770365523,16.6899283970764,13.5011795293791,16.1563370172284,12.6212829971048,6.09646054639658,12.2633290659316,8.65152863471549
"Gene7",11.3827486179676,10.7491772079556,4.57932110774402,12.74047567133,10.6941697897335,11.7240259854233,10.25459836156,9.18139527571724,7.91685536889519,14.0005147624116,16.1414446061191,14.0254082313023,7.33030706907229,4.21237939603786,17.6318712131151,7.53818889006463,11.1117122185566,14.0703819544168,10.6478686188068,19.7596393802855
"Gene8",6.2048162961804,17.248622119445,8.06895668231188,9.44642050520581,11.1269267805544,10.6108589856599,14.7339705962425,13.4424688358519,9.41937182863146,6.3399758295529,11.3015897573235,9.67459468947425,13.6345317793824,9.17259094601641,10.3601291077083,13.9175780282665,14.4713398215092,15.5322163285434,12.9483339916085,9.17334431200058
"Gene9",7.93944144431942,12.0555947141533,16.1380565563984,11.8294728884843,6.4210944451057,8.65887642393524,8.60903876888316,11.5161990101871,12.8106819754447,14.2053288876206,7.19807001823461,8.97030229671241,12.9833064672326,11.8451354529574,12.624948337443,13.1242046181355,10.1076231836055,15.4803390769312,19.2182045320235,15.5846193842934
"Gene10",8.66301408970013,8.65912207311402,8.31771273660681,9.84181957303608,13.3976495254302,8.96942221733374,6.52441898230903,12.4031124249623,7.53378670114196,10.9966701297753,11.1048924688022,7.09032371081201,10.5335723015879,13.9168636382895,10.0615622952753,13.1105636021779,8.88505431332454,13.9067254224891,15.9243806899736,16.2814979458701
"Gene11",13.6722453923184,18.3921734408743,7.49200208244143,14.0917658670444,15.5184303848549,8.18849261058757,12.1710569229338,9.59421612531274,9.06926025647507,7.5445780767046,11.173127749823,10.2080376760494,12.3721836380222,15.087427018321,13.2653707099308,13.8953132947686,16.9454416093778,7.21154404764956,8.88662611381947,10.5637736660092
"Gene12",11.0794414811721,18.4966780717465,11.9588425083335,8.48909974859685,14.5836103136452,13.7160175554167,7.64637801645015,9.85710902402224,11.2634809641805,10.9234515662804,11.9090232804862,9.52407706642784,10.878185640673,16.1429471376102,12.1160918715637,7.46818084617002,13.303896676746,11.5106973490696,15.1199019239343,13.9258830480431
